PLATFORM,ID,COUNTRY_NAME,FOLLOWERS_2023_PROPORTION
Instagram,I2.1,United States,0.225
Instagram,I2.1,Brazil,0.145
Instagram,I2.1,India,0.08
Instagram,I2.1,Indonesia,0.067
Instagram,I2.1,Mexico,0.043
Instagram,I2.1,United Kingdom,0.029
Instagram,I2.1,Italy,0.026
Instagram,I2.1,Argentina,0.023
Instagram,I2.1,Philippines,0.022
Instagram,I2.1,Russian Federation,0.021
Youtube,Y2.1,United States,0.193
Youtube,Y2.1,Brazil,0.147
Youtube,Y2.1,India,0.062
Youtube,Y2.1,Mexico,0.061
Youtube,Y2.1,France,0.034
Youtube,Y2.1,Colombia,0.034
Youtube,Y2.1,Argentina,0.03
Youtube,Y2.1,United Kingdom,0.029
Youtube,Y2.1,Philippines,0.028
Youtube,Y2.1,Indonesia,0.028
Tiktok,TT2.1,Indonesia,0.117
Tiktok,TT2.1,Mexico,0.093
Tiktok,TT2.1,Brazil,0.075
Tiktok,TT2.1,United States,0.064
Tiktok,TT2.1,Russian Federation,0.043
Tiktok,TT2.1,Philippines,0.033
Tiktok,TT2.1,Argentina,0.022
Tiktok,TT2.1,France,0.019
Tiktok,TT2.1,Colombia,0.018
Tiktok,TT2.1,Italy,0.016
